"priority","tag","country","packet_decision","implementation_status","character_actually_used","government_actually_used","ruler_title_actually_used","deferred_reason","files_touched","static_validation_result","notes"
"P1","DAI","Dai Nam","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not assign one historical ruler to the fork-wide DAI abstraction. Defer to map/political-structure rework.","","PASS","In 1776 the Lê/Trịnh north, Nguyễn south and Tây Sơn movement cannot honestly be collapsed into one unified sovereign."
"P1","JMB","Jambi","IDENTITY_CHRONOLOGY_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not force an individual until the competing 18th-century Jambi ruler chronologies are reconciled; keep title/government but procedural identity.","","PASS","Available ruler lists conflict over whether Ahmad Zainuddin Anom or Sultan Masud Badaruddin held the throne in 1776."
"P1","JOH","Johore","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mahmud Riayat Shah III","gov_cleanup2c1_joh","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He reigned 1761–1812."
"P1","KTI","Kutai","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Aji Kado","gov_cleanup2c1_kti","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Local chronologies place Aji Kado before Aji Imbut, whose accession is around 1780."
"P1","LAN","Lanfang","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not fabricate Luo Fangbo as a 1776 ruler; defer/remove/restructure the tag in the future map/political phase.","","PASS","Lanfang is generally dated to 1777, after the scenario start."
"P1","LUA","Luang Prabang","IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Surinyavong II","gov_cleanup2c1_lua","King","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Surinyavong II ruled from 1771; the kingdom was under Burmese influence before later Siamese subordination."
"P1","MGD","Maguindanao","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Pahar Ud-Din","gov_cleanup2c1_mgd","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Pahar Ud-Din in office 1755–1780."
"P1","PHI","Philippines","IMPLEMENT_DELEGATED_COLONIAL_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Simón de Anda y Salazar","gov_cleanup2c1_phi","Governor-General of the Philippines","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","De Anda governed from 1770 until 30 October 1776. Published birth years conflict, so the MASTER deliberately omits a precise age."
"P1","PON","Pontianak","IMPLEMENT_HISTORICAL_CHIEF","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Syarif Abdurrahman Alkadrie","gov_cleanup2c1_pon","Sharif","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Pontianak was founded in 1771; local traditions place formal coronation as Sultan in 1778."
"P1","PRK","Perak","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Alauddin Mansur Shah Iskandar Muda","gov_cleanup2c1_prk","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled 1773–1786."
"P1","SAK","Siak","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Muhammad Ali Abdul Jalil Muazzam Shah","gov_cleanup2c1_sak","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Common ruler chronologies place Muhammad Ali in office during 1776, although exact accession-year presentations vary."
"P1","SEL","Selangor","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Salahuddin Shah","gov_cleanup2c1_sel","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Raja Lumu, styled Sultan Salahuddin Shah, remained ruler until 1778."
"P1","SHS","Shan","POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not invent a unitary Shan monarch; defer the centralized tag to political/map rework.","","PASS","The Shan States were a collection of principalities, not one sovereign state in 1776."
"P1","SIA","Siam","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Taksin","gov_cleanup2c1_sia","King","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Taksin ruled 1767–1782."
"P1","SMB","Sambas","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Umar Akamuddin II","gov_cleanup2c1_smb","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Umar Akamuddin II in office 1764–1786."
"P1","SRK","Surakarta","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Pakubuwono III","gov_cleanup2c1_srk","Susuhunan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Pakubuwono III reigned 1749/1755–1788 depending institutional dating; unquestionably held Surakarta in 1776."
"P1","STG","Sintang","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Abdurrahman Muhammad Jalaluddin","gov_cleanup2c1_stg","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Sultan Abdurrahman Muhammad Jalaluddin in office 1738–1786."
"P1","SUL","Sulu","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mohammad Israel","gov_cleanup2c1_sul","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Mohammad Israel is listed as Sultan from 1773 to 1778."
"P1","TID","Tidore","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Jamaluddin","gov_cleanup2c1_tid","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Jamaluddin ruled 1757–1779."
"P1","YOG","Yogyakarta","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Hamengkubuwono I","gov_cleanup2c1_yog","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled from the 1755 establishment of Yogyakarta until 1792."
"P2","DUR","Afghanistan","FIX_SCRIPTED_UNVERIFIED_HISTORICAL_RULER","CORRECTED_AND_IMPLEMENTED","Timur Shah Durrani","gov_cleanup2c1_dur","Shah","","common/history/characters/dur.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Timur succeeded Ahmad Shah in 1772 and reigned until 1793."
"P2","IR1","Mamluk Iraq","FIX_SCRIPTED_UNVERIFIED_DELEGATED_EXECUTIVE","CORRECTED_AND_IMPLEMENTED","Omar Pasha","gov_cleanup2c1_ir1","Pasha","","common/history/characters/ir1 - mamluk iraq.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Omar Pasha held Baghdad from 1762 into 1776; sources do not support inventing an exact birth date."
"P2","BIC","East India","VERIFY_AND_IMPLEMENT_DELEGATED_COMPANY_EXECUTIVE","VERIFIED_AND_NARROWLY_REPRESENTED","Warren Hastings","gov_cleanup2c1_bic","Governor-General of Fort William","","common/history/characters/bic - british india.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Hastings had governed Bengal from 1772 and became Governor-General under the Regulating Act framework from 1774."
