tag,country_1776,fork_country_name,world_region,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,succession_or_election,nominal_sovereign,effective_executive,subject_type,overlord,colonial_or_company,map_dependency,recommended_v3_representation,implementation_decision,identity_confidence,constitutional_confidence,mapping_confidence,source_1,source_2,source_3,notes
KZH,Junior Zhuz / Little Horde,Kishi Zhuz,CENTRAL_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Nuraly Khan,Khan,1704,~71,YEAR_ONLY_APPROX_AGE,Khan of the Junior Zhuz,Kazakh khanate confederation with Russian protectorate influence,Khan selected within Chinggisid elite with aristocratic support,,Nuraly Khan,protectorate,RUS,NO,MINOR,"Represent Nuraly as Khan of the Junior Zhuz, not as an absolute territorial monarch.",IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,MEDIUM,Nuraly Khan | https://en.wikipedia.org/wiki/Nuraly_Khan,Junior Jüz | https://en.wikipedia.org/wiki/Junior_J%C3%BCz,,His authority was negotiated and confederal; Russian recognition/protectorate claims should not be read as direct provincial rule.
OZH,Middle Zhuz,Orta Zhuz,CENTRAL_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ablai Khan,Khan,1711,~64,YEAR_ONLY_APPROX_AGE,Khan of the Middle Zhuz,Kazakh khanate/confederation,Election/recognition among Kazakh elites; Chinggisid dynasty,,Ablai Khan,protectorate,RUS,NO,MINOR,Use Ablai Khan for the Middle Zhuz while noting that his claims and recognition across all three zhuzes were uneven.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,MEDIUM,Ablai Khan | https://en.wikipedia.org/wiki/Ablai_Khan,Middle Jüz | https://en.wikipedia.org/wiki/Middle_J%C3%BCz,,Ablai was elected khan in 1771; Russian formal recognition of his Middle Zhuz title followed later.
UZH,Senior Zhuz / Great Horde,Uly Zhuz,CENTRAL_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Collective khan/chief structure,,,NOT_APPLICABLE,Multiple clan and sultan authorities,Kazakh confederal political structure,"Distributed authority among clans, sultans and Chinggisid claimants",,Collective Senior Zhuz elites,protectorate,RUS,NO,MINOR,Do not duplicate Ablai as an unquestioned independent sovereign; retain a procedural abstraction until political/map structure is reworked.,POLITICAL_STRUCTURE_REWORK_DEFERRED,LOW,MEDIUM,LOW,Senior Jüz | https://en.wikipedia.org/wiki/Senior_J%C3%BCz,Kazakh Khanate | https://en.wikipedia.org/wiki/Kazakh_Khanate,,The fork's centralized single-ruler tag overstates a fragmented and overlapping authority structure in 1776.
EZO,Matsumae Domain / southern Ezochi,Ezochi,EAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_presidential_republic,Matsumae Michihiro,Daimyō,,,UNKNOWN_NO_INVENTION,8th daimyō of Matsumae Domain,Tokugawa feudal domain controlling trade/access in southern Ezo,Hereditary daimyō succession under Tokugawa bakufu,Tokugawa Ieharu,Matsumae Michihiro,vassal,JAP,NO,MINOR,Use Matsumae Michihiro only as an abstraction for the Japanese Matsumae domain; do not imply centralized control over all Ainu Ezochi.,IMPLEMENT_HISTORICAL_RULER_WITH_MAP_CAVEAT,HIGH,HIGH,MEDIUM,Matsumae Michihiro | https://en.wikipedia.org/wiki/Matsumae_Michihiro,Matsumae Domain | https://en.wikipedia.org/wiki/Matsumae_Domain,,The tag's territorial extent may exceed historically administered Matsumae lands and requires later map/population review.
RYU,Ryukyu Kingdom,Ryukyu,EAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Shō Boku,King,1739,~36,YEAR_ONLY_APPROX_AGE,King of Ryukyu,Hereditary monarchy with dual tributary/subordinate relations,Hereditary Shō dynasty,Qianlong Emperor; Satsuma domain also exercised control,Shō Boku,tributary,JAP,NO,MINOR,Implement Shō Boku as King while documenting the dual Qing tributary and Satsuma subordinate relationship.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Shō Boku | https://en.wikipedia.org/wiki/Sh%C5%8D_Boku,Ryukyu Kingdom | https://en.wikipedia.org/wiki/Ryukyu_Kingdom,,Ryukyu was neither simply independent nor a normal one-overlord vassal in 1776.
ARB,Banu Ka'b / Arabistan (Khuzestan),Arabistan,MIDDLE_EAST,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Sheikh,,,NOT_APPLICABLE,Banu Ka'b sheikhdom leadership,Arab tribal sheikhdom in Khuzestan under shifting Zand/Persian influence,Dynastic/tribal sheikhly succession,Karim Khan Zand (regional Persian paramountcy),Exact 1776 Banu Ka'b holder unresolved,vassal,FRA,NO,MINOR,Do not invent a ruler. Treat the fork's ARB abstraction and especially any French-vassal relation as map/diplomacy work.,MAP_DIPLOMACY_REWORK_DEFERRED,LOW,MEDIUM,LOW,Banu Ka'b | https://en.wikipedia.org/wiki/Banu_Ka%27b,Khuzestan | https://en.wikipedia.org/wiki/Khuzestan,,Research confirms the political context but not a sufficiently secure individual holder for 1776-01-01.
BHN,Bahrain under the Al-Madhkur,Bahrain,ARABIAN_PENINSULA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Nasr al-Madhkur,Sheikh / Governor,,,UNKNOWN_NO_INVENTION,Al-Madhkur governor of Bahrain,Persian/Zand delegated rule through the Al-Madhkur family,Family/governorial succession under Persian paramountcy,Karim Khan Zand,Nasr al-Madhkur,INDEPENDENT,,NO,NO,"Represent Nasr as delegated governor/sheikh, not as an independent hereditary King of Bahrain.",IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Nasr Al-Madhkur | https://en.wikipedia.org/wiki/Nasr_Al-Madhkur,History of Bahrain | https://en.wikipedia.org/wiki/History_of_Bahrain,,"The Al Khalifa conquest dates to 1783, so later Bahraini dynastic assumptions are anachronistic for 1776."
CHC,Chechen societies,Chechnya,CAUCASUS,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_theocracy,,Collective teip/community leadership,,,NOT_APPLICABLE,No single ruler of a unified Chechnya,Decentralized clan/teip and local community structure,Distributed customary authority,,Collective local elites,INDEPENDENT,,NO,NO,Do not manufacture a monarch or theocratic ruler. Defer centralized-tag representation to political/map rework.,POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,History of Chechnya | https://en.wikipedia.org/wiki/History_of_Chechnya,Sheikh Mansur | https://en.wikipedia.org/wiki/Sheikh_Mansur,,"Sheikh Mansur's major unifying resistance belongs to the 1780s, not 1776."
CIR,Circassian principalities and communities,Circassia,CAUCASUS,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_parliamentary_republic,,Collective princely/community leadership,,,NOT_APPLICABLE,Multiple Circassian princes and communities,Confederated/decentralized mixture of aristocratic principalities and communities,Local princely and communal succession; no unitary executive,,Collective Circassian elites,INDEPENDENT,,NO,NO,Keep procedural/deferred; a single 'ruler of Circassia' would be an unjustified simplification.,POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Circassia | https://en.wikipedia.org/wiki/Circassia,Circassians | https://en.wikipedia.org/wiki/Circassians,,The fork centralizes a region that in 1776 contained multiple polities and social systems.
HDJ,Sharifate of Mecca / Hejaz,Hedjaz,ARABIAN_PENINSULA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Surur ibn Musa'id,Sharif and Emir of Mecca,1744,~31,YEAR_ONLY_APPROX_AGE,Sharif and Emir of Mecca,Hereditary sharifate under Ottoman suzerainty,"Succession within the Hashemite sharifian house, subject to Ottoman confirmation",Abdülhamid I,Surur ibn Musa'id,puppet,TUR,NO,MINOR,Implement Surur as Emir/Sharif of Mecca; keep the Ottoman Sultan as nominal sovereign rather than making Surur an independent king.,IMPLEMENT_DELEGATED_DYNASTIC_RULER,HIGH,HIGH,HIGH,Surur ibn Musa'id | https://en.wikipedia.org/wiki/Surur_ibn_Musa%27id,Sharifate of Mecca | https://en.wikipedia.org/wiki/Sharifate_of_Mecca,,Surur held office 1773–1788.
LAH,Sultanate of Lahej,Lahej,ARABIAN_PENINSULA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Fadl II ibn Abd al-Karim al-Abdali,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Lahej,Abdali hereditary sultanate,Hereditary Abdali succession,,Fadl II ibn Abd al-Karim al-Abdali,INDEPENDENT,,NO,NO,Implement Fadl II as Sultan; preserve regional dependency questions separately from ruler identity.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Sultanate of Lahej | https://en.wikipedia.org/wiki/Sultanate_of_Lahej,,,Fadl II is listed as ruler from 1775 to 1791; reliable birth data was not found.
OMA,Oman,Oman,ARABIAN_PENINSULA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ahmad bin Said al-Busaidi,Imam,1694,~81,YEAR_ONLY_APPROX_AGE,Imam and founder of the Al Bu Said dynasty,Ibadi imamate with increasingly dynastic Al Bu Said rule,Imamate selection evolved into dynastic rule within Al Bu Said,,Ahmad bin Said al-Busaidi,INDEPENDENT,,NO,NO,Implement Ahmad bin Said as Imam; do not back-project a later modern Sultan title if the fork can support Imam.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Ahmad bin Said al-Busaidi | https://en.wikipedia.org/wiki/Ahmad_bin_Said_al-Busaidi,Al Said | https://en.wikipedia.org/wiki/Al_Said,,He ruled from 1744 until 1783.
ZAI,Zaidi Imamate of Yemen,Azal,ARABIAN_PENINSULA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_theocracy,al-Mansur Ali I,Imam,1738,~37,YEAR_ONLY_APPROX_AGE,Zaidi Imam of Yemen,Zaidi imamate under Qasimid dynasty,Dynastic competition mediated by imamate legitimacy,,al-Mansur Ali I,INDEPENDENT,,NO,NO,Implement al-Mansur Ali I as Imam; retain the specifically Zaidi imamate title.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Al-Mansur Ali I | https://en.wikipedia.org/wiki/Al-Mansur_Ali_I,Qasimid State | https://en.wikipedia.org/wiki/Qasimid_State,,He succeeded in 1775 and remained imam until 1809.
HAW,Hawaiian Islands (multiple chiefdoms),Hawaii,OCEANIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Multiple aliʻi nui,,,NOT_APPLICABLE,No single ruler of a unified Hawaiian kingdom,Multiple island chiefdoms,Hereditary chiefly succession by island/district,,"Multiple high chiefs, including Kalaniʻōpuʻu on Hawaiʻi",INDEPENDENT,,NO,NO,Do not choose one ruler for the whole archipelago tag. Defer until the map/political structure can represent the separate island polities.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Kingdom of Hawaii | https://en.wikipedia.org/wiki/Kingdom_of_Hawaii,Kalaniʻōpuʻu | https://en.wikipedia.org/wiki/Kalani%CA%BB%C5%8Dpu%CA%BBu,,Kamehameha's archipelagic unification post-dates 1776; a unified Hawaiian Kingdom is anachronistic at start.
KAU,Kaurna country,Kaurna,OCEANIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_parliamentary_republic,,Clan/community elders,,,NOT_APPLICABLE,No centralized single executive,Kaurna clan/local-group social structure,Kinship and local customary leadership,,Collective Kaurna local groups,INDEPENDENT,,NO,NO,Do not create a king or monarch. Reclassify during future map/population/political-structure work.,POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,MEDIUM,LOW,Kaurna | https://en.wikipedia.org/wiki/Kaurna,,,A centralized territorial state with one ruler is not supported for 1776.
PLY,Tahiti / Pare,Tahiti,OCEANIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Tū (later Pōmare I),Paramount chief,,,UNKNOWN_NO_INVENTION,High chief of Pare/Tahiti; later Pōmare I,"Tahitian chiefdoms with increasing paramountcy, not yet the later unified Pōmare kingdom",Hereditary chiefly succession within elite lineages,,Tū (Otoo),protectorate,FRA,NO,MINOR,Use Tū as a historical paramount-chief abstraction only; do not call him King of a fully unified Tahiti or accept a French protectorate in 1776.,IMPLEMENT_HISTORICAL_CHIEF_WITH_DIPLOMACY_DEFER,HIGH,HIGH,LOW,Pōmare I | https://en.wikipedia.org/wiki/P%C5%8Dmare_I,Kingdom of Tahiti | https://en.wikipedia.org/wiki/Kingdom_of_Tahiti,,"The French protectorate is a 19th-century development; European observers later called Tū/Otoo king, but in 1776 paramount chief is safer."
UNT,Māori iwi/hapū of New Zealand,United Tribes,OCEANIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,No United Tribes executive,,,NOT_APPLICABLE,No 1776 United Tribes government,Independent iwi and hapū,Distributed chiefly authority,,Multiple rangatira,INDEPENDENT,,NO,NO,Remove any claim to a 1776 United Tribes ruler; defer the tag to map/political rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,United Tribes of New Zealand | https://en.wikipedia.org/wiki/United_Tribes_of_New_Zealand,Te Ara — Declaration of Independence | https://teara.govt.nz/en/he-whakaputanga-declaration-of-independence,,"He Whakaputanga / United Tribes belongs to 1835, not 1776."
AWA,Awadh,Awadh,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Asaf-ud-Daula,Nawab-Wazir,1748,~27,YEAR_ONLY_APPROX_AGE,Nawab-Wazir of Awadh,Hereditary nawabi with Mughal-derived legitimacy and growing Company influence,Dynastic succession in the Nishapuri house,Shah Alam II (nominal Mughal imperial framework),Asaf-ud-Daula,INDEPENDENT,,NO,NO,"Implement Asaf-ud-Daula as Nawab-Wazir, not king.",IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Asaf-ud-Daula | https://en.wikipedia.org/wiki/Asaf-ud-Daula,Nawab of Awadh | https://en.wikipedia.org/wiki/Nawab_of_Awadh,,He succeeded Shuja-ud-Daula after the latter's death in January 1775.
BHU,Bhutan,Bhutan,SOUTH_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_presidential_republic,Kunga Rinchen,Druk Desi,,,UNKNOWN_NO_INVENTION,"Druk Desi, secular ruler",Bhutanese dual system of government,Druk Desi office selected within dual religious-secular polity,Zhabdrung institution (religious sovereignty),Kunga Rinchen,INDEPENDENT,,NO,NO,Represent Kunga Rinchen as Druk Desi and document the dual system; do not reduce Bhutan to an ordinary hereditary monarchy.,IMPLEMENT_HISTORICAL_EXECUTIVE,HIGH,HIGH,HIGH,List of rulers of Bhutan | https://en.wikipedia.org/wiki/List_of_rulers_of_Bhutan,Druk Desi | https://en.wikipedia.org/wiki/Druk_Desi,,Kunga Rinchen is listed for 1773–1776; exact transition date within 1776 remains uncertain.
BHV,Bhavnagar State,Bhavnagar,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Wakhatsinhji Akherajji,Thakur Sahib / ruler,1748,~27,YEAR_ONLY_APPROX_AGE,Ruler of Bhavnagar,Hereditary princely state of the Gohil dynasty,Hereditary dynastic succession,,Wakhatsinhji Akherajji,INDEPENDENT,,NO,NO,Implement Wakhatsinhji as the historical ruler; use the locally appropriate princely title rather than a generic king.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Bhavnagar State | https://en.wikipedia.org/wiki/Bhavnagar_State,,,He ruled 1772–1816; exact title localisation should follow the state/dynasty source packet.
COC,Kingdom of Cochin,Cochin,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Rama Varma VIII,Raja / Maharaja,,,UNKNOWN_NO_INVENTION,Ruler of Cochin,Hereditary Cochin royal house under strong Dutch/VOC influence,Dynastic succession,,Rama Varma VIII,puppet,DEI,NO,MINOR,Implement Rama Varma VIII. Do not substitute later Sakthan Thampuran; defer the fork's DEI-subject relationship for diplomacy/map review.,IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER,HIGH,HIGH,LOW,Kingdom of Cochin | https://en.wikipedia.org/wiki/Kingdom_of_Cochin,Rama Varma VIII | https://en.wikipedia.org/wiki/Rama_Varma_VIII,,Rama Varma VIII ruled 1775–1790; Sakthan Thampuran succeeded later.
COO,Cooch Behar,Cooch Behar,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Dhairyendra Narayan,Maharaja,,,UNKNOWN_NO_INVENTION,Maharaja of Cooch Behar,Hereditary monarchy under increasing East India Company/British protection,Dynastic succession restored after Bhutanese captivity,,Dhairyendra Narayan,puppet,BIC,NO,MINOR,Implement Dhairyendra Narayan; preserve dependency complexity as separate diplomacy work.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,MEDIUM,Dhairyendra Narayan | https://en.wikipedia.org/wiki/Dhairyendra_Narayan,Cooch Behar district history | https://coochbehar.gov.in/history/,,He resumed rule in 1775 after release and remained ruler into the early 1780s.
GAR,Garhwal Kingdom,Garhwal,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Lalit Shah,Raja,,,UNKNOWN_NO_INVENTION,Raja of Garhwal,Hereditary Himalayan monarchy,Dynastic succession,,Lalit Shah,vassal,MARATH,NO,MINOR,Implement Lalit Shah as Raja.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Garhwal Kingdom | https://en.wikipedia.org/wiki/Garhwal_Kingdom,,,Lalit Shah ruled 1772–1780.
GWA,Gwalior / Scindia dominion,Gwalior,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mahadji Shinde,Maharaja / Sardar,1730-12-23,45,EXACT_IF_SOURCED,Scindia ruler and Maratha chief,Maratha dynastic chiefship within the wider confederacy,Dynastic succession within Scindia house,Maratha Peshwa/Confederacy framework,Mahadji Shinde,vassal,MARATH,NO,MINOR,Implement Mahadji Shinde but avoid presenting Gwalior as a fully sovereign modern-style kingdom detached from Maratha context.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,MEDIUM,Mahadaji Shinde | https://en.wikipedia.org/wiki/Mahadaji_Shinde,Scindia dynasty | https://en.wikipedia.org/wiki/Scindia_dynasty,,Mahadji had led the Scindia house since the late 1760s.
JEY,Jeypore Kingdom,Jeypore,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Vikram Dev I / Vikram Dev,Raja,1701-12-20,74,EXACT_IF_SOURCED,Raja of Jeypore,Hereditary zamindari/kingdom under shifting regional and Company pressure,Dynastic succession,,Vikram Dev,puppet,BIC,NO,MINOR,"Implement Vikram Dev as Raja, with dependency/tax status kept distinct from sovereignty.",IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,MEDIUM,Jeypore Estate | https://en.wikipedia.org/wiki/Jeypore_Estate,,,Chronologies commonly place Vikram Dev in office 1758–1781.
KHP,Kolhapur State,Kolhapur,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Shivaji II,Raja / Chhatrapati,1756,~19,YEAR_ONLY_APPROX_AGE,Ruler of Kolhapur,Maratha Bhonsle hereditary monarchy,Hereditary dynastic succession,,Shivaji II,vassal,MARATH,NO,MINOR,Implement Shivaji II; do not continue the earlier regency beyond its supported period.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Shivaji II of Kolhapur | https://en.wikipedia.org/wiki/Shivaji_II_of_Kolhapur,Kolhapur State | https://en.wikipedia.org/wiki/Kolhapur_State,,Rani Jijibai's regency ended before 1776; Shivaji II was the ruler at start.
KNO,Kurnool,Kurnool,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Munawar Khan,Nawab,,,UNKNOWN_NO_INVENTION,Nawab of Kurnool,Hereditary nawabi/princely state,Dynastic succession,,Munawar Khan,vassal,HYD,NO,MINOR,Implement Munawar Khan as Nawab.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Kurnool State | https://en.wikipedia.org/wiki/Kurnool_State,,,Ruler lists place Munawar Khan in office from 1751 to 1792; birth date not securely established.
MLD,Maldives,Maldives,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Muhammad Mu'izz al-Din,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of the Maldives,Hereditary sultanate,Dynastic succession,,Muhammad Mu'izz al-Din,INDEPENDENT,,NO,NO,Implement Muhammad Mu'izz al-Din as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,List of sultans of the Maldives | https://en.wikipedia.org/wiki/List_of_sultans_of_the_Maldives,Sultanate of the Maldives | https://en.wikipedia.org/wiki/Sultanate_of_the_Maldives,,Ruler lists place him in office 1774–1779.
NAG,Nagpur / Bhonsle dominion,Nagpur,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mudhoji Bhonsle,Regent / Senadhurandhar,,,UNKNOWN_NO_INVENTION,Regent and effective ruler for Raghoji II,Bhonsle dynastic state with child ruler/regency,Dynastic succession with regency,Raghoji II (minor nominal ruler),Mudhoji Bhonsle,INDEPENDENT,,NO,NO,Model Mudhoji as effective regent and Raghoji II as child heir/nominal ruler if technically compatible with the proven 1.13 regency pattern.,IMPLEMENT_REGENCY_STRUCTURE,HIGH,HIGH,HIGH,Mudhoji I | https://en.wikipedia.org/wiki/Mudhoji_I,Kingdom of Nagpur | https://en.wikipedia.org/wiki/Kingdom_of_Nagpur,,Mudhoji I won the regency struggle by 1775 and governed on behalf of the infant Raghoji II; no exact birth date is invented.
NEP,Kingdom of Nepal,Nepal,SOUTH_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Pratap Singh Shah,King,1751-04-16,24,EXACT_IF_SOURCED,King of Nepal,Shah hereditary monarchy,Hereditary Shah succession,,Pratap Singh Shah,INDEPENDENT,,NO,NO,Implement Pratap Singh Shah as King.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Pratap Singh Shah | https://en.wikipedia.org/wiki/Pratap_Singh_Shah,Kingdom of Nepal | https://en.wikipedia.org/wiki/Kingdom_of_Nepal,,He reigned from January 1775 to November 1777.
PAN,Sikh Confederacy / Punjab misls,Punjab,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Jassa Singh Ahluwalia,Jathedar / leading Sardar,1718,~57,YEAR_ONLY_APPROX_AGE,Leading commander and political figure of the Dal Khalsa,"Sikh misls confederacy, not a unified Punjab monarchy",Confederal selection and misl leadership; no hereditary king of unified Punjab,,Dal Khalsa / misl chiefs; Jassa Singh Ahluwalia as leading figure,INDEPENDENT,,NO,NO,"If a single visible character is technically required, use Jassa Singh only as a confederal abstraction with a non-royal title; otherwise retain procedural leadership pending structural rework.",POLITICAL_STRUCTURE_REWORK_DEFERRED_WITH_HISTORICAL_ABSTRACTION,HIGH,HIGH,LOW,Jassa Singh Ahluwalia | https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,Sikh Confederacy | https://en.wikipedia.org/wiki/Sikh_Confederacy,,Do not title Jassa Singh King of Punjab; the unified Sikh Empire belongs to a later period.
PUD,Pudukkottai State,Pudukottai,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Raghunatha Tondaiman,Raja,1738-05,37,MONTH_ONLY_APPROX_AGE,Raja of Pudukkottai,Hereditary Tondaiman principality,Dynastic succession,,Raghunatha Tondaiman,vassal,HYD,NO,MINOR,Implement Raghunatha Tondaiman as Raja.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Raya Raghunatha Tondaiman | https://en.wikipedia.org/wiki/Raya_Raghunatha_Tondaiman,Pudukkottai State | https://en.wikipedia.org/wiki/Pudukkottai_State,,He ruled 1769–1789.
SAT,Satara,Satara,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Rajaram II,Chhatrapati,1726-06,49,MONTH_ONLY_APPROX_AGE,Chhatrapati of Satara; nominal Maratha sovereign,Maratha hereditary monarchy with effective Peshwa dominance,Bhonsle dynastic succession; effective confederate administration by Peshwa,Rajaram II,Peshwa/Maratha confederate executive,vassal,MARATH,NO,MINOR,Implement Rajaram II as Chhatrapati but explicitly preserve the nominal-versus-effective distinction.,IMPLEMENT_NOMINAL_HISTORICAL_SOVEREIGN,HIGH,HIGH,HIGH,Rajaram II of Satara | https://en.wikipedia.org/wiki/Rajaram_II_of_Satara,Maratha Empire | https://en.wikipedia.org/wiki/Maratha_Empire,,Rajaram II remained Chhatrapati until 1777 while practical Maratha power lay with the Peshwa establishment.
SIK,Kingdom of Sikkim,Sikkim,SOUTH_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Phuntsog Namgyal II,Chogyal,,,UNKNOWN_NO_INVENTION,Chogyal of Sikkim,Hereditary Namgyal monarchy,Dynastic succession,,Phuntsog Namgyal II,INDEPENDENT,,NO,NO,Implement Phuntsog Namgyal II with the Chogyal title.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Phuntsog Namgyal II | https://en.wikipedia.org/wiki/Phuntsog_Namgyal_II,Chogyal | https://en.wikipedia.org/wiki/Chogyal,,He ruled 1733–1780.
SIN,Kalhora Sindh,Sindh,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ghulam Nabi Kalhoro,Mian / ruler,,,UNKNOWN_NO_INVENTION,Kalhora ruler of Sindh,Hereditary Kalhora state under Durrani-era regional pressure,Dynastic succession,,Ghulam Nabi Kalhoro,vassal,DUR,NO,MINOR,Implement Ghulam Nabi Kalhoro; note that his reign was short and 1776 was a transition year.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Kalhora dynasty | https://en.wikipedia.org/wiki/Kalhora_dynasty,Sindh Culture — Kalhora period | https://sindhculture.gov.pk/,,Provincial/official chronologies place Mian Ghulam Nabi in 1775–1776.
