tag,country_name,current_v3_land_units,current_v3_land_manpower_equivalent,historical_standing_force_low,historical_standing_force_high,land_gap_direction,land_gap_severity,current_v3_naval_crew,historical_active_naval_personnel_low,historical_active_naval_personnel_high,naval_gap_direction,naval_gap_severity,current_frigate_units,historical_frigate_hulls,current_ship_of_the_line_units,historical_ship_of_the_line_hulls,structural_difference,conversion_warning,notes
PRU,Prussia,122,122000,158000,158000,CURRENT_TOO_LOW,MEDIUM,0,,,ROUGHLY_COMPARABLE,LOW,0,,0,,Current empty fleet is a formation artifact; no meaningful battle fleet established.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUANTITATIVE_MEDIUM_CONFIDENCE.
PUD,Pudukottai,2,2000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
QUE,Quebec,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
RUS,Russia,176,176000,300000,350000,CURRENT_TOO_LOW,HIGH,50900,,,NOT_DIRECTLY_COMPARABLE,HIGH,33,,43,,Current navy has large fleet with zero naval administration; historical size and infrastructure are separate questions.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_LOW_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
RWD,Rwanda,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
RYU,Ryukyu,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SAK,Siak,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SAR,Sardinia-Piedmont,21,21000,,,UNKNOWN,LOW,2500,,,UNKNOWN,LOW,5,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SAT,Satara,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SAX,Saxony,11,11000,21840,21840,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
SC1,Nueva España,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SC2,Nueva Granada,34,34000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SC3,Perú,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SC4,Río de la Plata,7,7000,,,UNKNOWN,MEDIUM,500,,,UNKNOWN,LOW,1,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SCH,Schleswig,2,2000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SCM,Schaumburg-Lippe,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SCW,Schwarzburg,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SEL,Selangor,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SGU,Segou,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SHS,Shan,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SIA,Siam,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SIC,Two Sicilies,30,30000,,,UNKNOWN,MEDIUM,4600,,,UNKNOWN,LOW,6,,2,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SIK,Sikkim,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SIL,Sierra Leone,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SIN,Sindh,23,23000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SMB,Sambas,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SOK,Sokoto,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
SPA,Spain,102,102000,,,UNKNOWN,LOW,46000,,,CURRENT_TOO_HIGH,VERY_HIGH,60,,20,59 SOL near-date inventory; 17 full commission Mar-1776,Two identical Real Armada blocks are a script duplicate; historical Spain did have multiple geographically distinct naval stations.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUANTITATIVE_HIGH_CONFIDENCE.
SRK,Surakarta,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
STG,Sintang,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SUL,Sulu,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SWE,Sweden,30,30000,,,UNKNOWN,LOW,10500,,,NOT_DIRECTLY_COMPARABLE,MEDIUM,5,,10,"22 SOL nominal in service 1772, six obsolete",No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUANTITATIVE_MEDIUM_CONFIDENCE.
SWI,Switzerland,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
SWZ,Swaziland,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TGI,Tungi,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TIB,Tibet,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TID,Tidore,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TRA,Travancore,9,9000,,,UNKNOWN,LOW,500,,,UNKNOWN,LOW,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TRI,Tripolitania,0,0,,,UNKNOWN,LOW,500,,,UNKNOWN,LOW,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TRN,Transvaal,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
TRS,Transylvania,19,19000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
TUG,Touggourt,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TUN,Tunis,0,0,,,UNKNOWN,LOW,500,,,UNKNOWN,LOW,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TUR,Ottoman Empire,78,78000,,,NOT_DIRECTLY_COMPARABLE,HIGH,7200,,,UNKNOWN,LOW,8,,4,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
TUS,Tuscany,8,8000,,,UNKNOWN,LOW,500,,,UNKNOWN,LOW,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
UBD,United Baltic Provinces,6,6000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
UNT,United Tribes,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
USA,America,164,164000,18000,21000,CURRENT_TOO_HIGH,VERY_HIGH,9300,3090,3090,CURRENT_TOO_HIGH,VERY_HIGH,9,13 authorized frigates (not all active),6,0 SOL at Jan-1776; first 74 only authorized Nov-1776,Current standing formations appear to fold militia/temporary mobilization into the standing layer.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUANTITATIVE_HIGH_CONFIDENCE.
UZH,Uly Zhuz,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
VEN,Venice,12,12000,,,UNKNOWN,LOW,6200,,,UNKNOWN,LOW,6,,4,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WAD,Wadai,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WAL,Wallachia,4,4000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WBL,Griqualand,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WEI,Saxe-Weimar-Eisenach,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WLD,Waldeck,1,1000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WSG,Warsangali,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
WTU,Witu,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
WUR,Württemberg,14,14000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
YOG,Yogyakarta,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ZAI,Azal,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
